,Nacionalidad,Nombre,Especialidad,Lesiones ,Amonestaciones,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Límite,Máxima oferta,Ofrecer,Unnamed: 24,link
0,España,Ordoño Guerra,Técnico,,1.0,28,106,295760,23940,55,7,4,7,7,1,4,15,3,14,13,1,29-09-2022 05:57,,8400000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=441479940
1,Deutschland,Uwe Fromhage,Rápido,,1.0,28,104,32160,8050,128,6,3,6,7,1,5,5,5,8,13,4,29-09-2022 06:15,,2150000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=442465930
2,Nederland,Sammy Dikken,Técnico,,,29,35,190170,31140,51,9,3,6,6,1,4,12,5,12,16,1,29-09-2022 06:17,,6299999,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=440573086
3,Magyarország,Péter Stern,Rápido,,,33,88,47320,25080,11,10,3,7,5,1,2,5,5,12,16,12,29-09-2022 06:18,,2500000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=433181937
4,Srbija,Igor Jurišić,Imprevisible,,1.0,36,70,21680,6810,308,10,3,7,4,0,4,9,14,7,15,2,29-09-2022 06:18,,3000000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=422782153
5,Magyarország,Gál Mundrucó,,,,30,51,87440,19230,124,7,2,6,7,1,4,8,5,12,15,5,29-09-2022 06:32,,3890000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=438626034
6,Suomi,Antti Piispanen,Cabeceador,,,28,22,258850,35960,37,7,4,8,7,2,5,15,4,8,15,6,29-09-2022 06:37,,7500000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=443016958
7,France,Arnaud Fernandes,Rápido,,2.0,35,76,22230,8690,43,13,5,6,6,1,3,12,1,11,14,12,29-09-2022 06:41,,2000000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=424925252
8,Chile,Gonzalo Tapia,Rápido,,,34,42,51320,18290,223,15,2,6,7,1,16,5,11,11,13,11,29-09-2022 06:43,,3000000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=428034517
9,Polska,Marian Gulbiński,Imprevisible,,1.0,33,46,108960,25440,128,13,5,8,8,1,5,4,6,16,16,9,29-09-2022 06:44,FOROLO F. C.,3366000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=430892056
10,France,Christophe Brunet,Técnico,,,34,37,63340,19080,225,15,4,8,7,0,16,3,6,13,13,10,29-09-2022 06:44,,3000000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=428117315
11,Bulgaria,Müslüm Müderris,Rápido,,,33,83,68340,17360,124,11,4,6,8,1,5,3,6,15,15,12,29-09-2022 06:45,,2700000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=431265673
