,Nacionalidad,Nombre,Especialidad,Lesiones ,Amonestaciones,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Límite,Máxima oferta,Ofrecer,Unnamed: 24,link
0,Italia,Nicola De Paolis,Rápido,,1.0,23,16,28350,3890,94,3,3,6,8,1,3,11,4,10,3,3,29-08-2022 18:41,,3000000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=455841727
1,Bosna i Hercegovina,Andreja Lalić,,,,23,10,25490,4690,94,4,6,4,7,1,4,11,4,10,3,5,29-08-2022 18:41,,2700000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=456128509
2,Portugal,Sabino da Cunha,,,,22,74,8800,1310,81,2,5,4,8,1,2,10,3,7,3,3,29-08-2022 18:42,,1500000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=458437013
3,Bangladesh,Abdur Kamal,,,1.0,27,38,2130,590,22,4,3,6,6,2,5,8,2,5,2,5,29-08-2022 18:45,,22500,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=468276842
4,Deutschland,Ulrich Burgdorf,Imprevisible,,2.0,26,76,39550,2190,125,5,4,6,7,1,7,10,5,11,3,1,29-08-2022 18:55,,1000000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=450780258
5,Nederland,Ernst-Jan Muntinga,Técnico,,1.0,26,38,23880,3230,14,5,5,6,7,1,9,11,6,7,3,4,29-08-2022 18:57,,1500000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=458343003
6,Lietuva,Lauris Varenkevičius,,,,25,2,10050,3050,22,4,2,6,7,1,6,11,3,3,2,5,29-08-2022 19:02,GLund,242000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=467534391
7,Nederland,Sijbrand Beemsterboer,,,1.0,23,12,11340,2530,64,4,2,6,8,1,5,11,3,6,2,6,29-08-2022 19:03,RajaClubAthletic2,561000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=460747832
8,Israel,Aviad Tishby,Potente,,,23,86,55850,3190,5,4,4,7,8,1,10,10,3,11,5,11,29-08-2022 19:09,Frederikshavn IF,4224975,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=454458528
9,Argentina,Jonathan Casal,Imprevisible,,1.0,25,35,5220,1290,21,2,6,4,7,1,3,9,5,6,5,2,29-08-2022 19:20,,189000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=450228651
10,Bénin,Ousman Fagbohoun,Técnico,,,23,70,46610,3930,57,5,6,7,7,1,3,11,7,8,10,2,29-08-2022 19:29,,5500000,,https://www86.hattrick.org/Club/Players/Player.aspx?playerId=455617032
