Nacionalidad,Nombre,Especialidad,Lesiones ,Amonestaciones,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Límite,Máxima oferta,Ofrecer,
England,Declan Stone,Rápido,,,34,77,13750,10330,28,11,4,5,7,1,3,3,7,13,14,17,09-10-2022 06:22,,1698000,
Belgium,Caspar Coppejans,Imprevisible,,1,27,73,71630,17230,166,8,4,7,7,1,3,7,5,8,14,1,09-10-2022 06:24,,3200000,
Venezuela,Nicola Mele,Rápido,,1,27,75,62370,17010,166,7,5,6,7,1,3,7,2,8,14,5,09-10-2022 06:24,Mirador C.F.,2601000,
Italia,Manolo Ruffert,,,1,27,7,118930,39330,160,5,3,5,8,1,2,2,3,8,16,1,09-10-2022 06:36,,3000000,
England,Alfie Stafford,,,,31,25,57980,11090,130,12,4,7,6,1,5,12,4,8,13,2,09-10-2022 06:44,,3852000,
Cabo Verde,Valdemar Pinto,Potente,,1,28,77,240290,34430,62,9,2,8,8,1,4,5,4,14,16,4,09-10-2022 06:47,bronsgroene boys,5000000,
France,Gehrd Wallgraben,Cabeceador,,,34,85,17570,8310,9,13,3,8,5,1,4,11,5,13,13,17,09-10-2022 06:52,,1699999,
România,Cătălin Balaci,,,,29,58,62640,13610,7,7,4,5,6,1,5,4,3,12,13,3,09-10-2022 06:54,,2500000,
Oceania,Jeff Stanley,Cabeceador,,1,31,81,202710,23620,11,11,5,8,6,1,3,14,12,12,14,6,09-10-2022 07:03,,8200000,
Srbija,Aleksandar Vojnović,,,,31,37,33530,11720,36,4,7,6,6,1,5,7,1,10,14,6,09-10-2022 07:04,,2250000,
Italia,Gionata Penta,,,,27,44,245200,20980,47,6,2,7,7,1,4,14,4,12,13,1,09-10-2022 07:10,,8000000,
România,Dănuţ Havriliuc,Cabeceador,,,36,4,12670,4790,0,11,5,5,4,1,2,13,2,8,14,3,09-10-2022 07:15,,1269000,
Italia,Giovanni Ventimiglia,Técnico,,1,31,75,104350,21600,10,12,4,7,6,1,8,15,5,6,14,13,09-10-2022 07:15,,3888889,
România,Pavel 'van' Olteanu,Potente,,1,29,106,203700,18700,188,10,6,6,7,1,4,13,13,8,15,1,09-10-2022 07:28,,7500000,
Magyarország,Milán Mészáros,,,,34,22,15360,12740,257,11,4,7,5,1,4,5,3,11,16,12,09-10-2022 07:41,,2490000,
Deutschland,Bernd Eltze,Potente,,2,35,98,14630,12590,2,10,3,7,6,1,3,5,4,9,16,13,09-10-2022 07:49,Bononia FC,765000,
Deutschland,Gotthold Hänel,,,2,30,76,324440,31850,41,10,5,7,6,1,4,15,3,15,15,5,09-10-2022 07:51,,7700000,
Schweiz,Dani Gillard,Técnico,,1,29,41,102820,34600,65,8,6,8,7,1,3,5,3,8,16,1,09-10-2022 07:52,deportivo TORPAGNOTTA,3000000,
España,Johann-Peter Dietinger,Rápido,,1,36,108,12500,4530,24,14,1,6,5,0,3,5,2,13,13,14,09-10-2022 07:53,RB København,849000,
România,Adrian Guşu,Cabeceador,,2,28,50,88780,34270,3,7,3,7,7,1,3,4,5,7,16,10,09-10-2022 07:53,forever_young,3000000,
Belgium,Lowie Tits,Imprevisible,,1,31,19,146510,28000,3,9,4,7,6,1,2,9,4,14,16,3,09-10-2022 07:54,,5100000,
Rossiya,Valentin Ekaterinchev,,,1,27,16,250070,34880,60,6,6,5,7,1,3,3,12,14,16,4,09-10-2022 07:56,,9575000,
Bulgaria,Atanas Shopski,Imprevisible,,1,27,110,117430,10530,32,7,5,8,7,1,4,9,5,12,13,1,09-10-2022 08:08,,4000000,
Magyarország,Vilmos Bajnok,,,,29,76,58090,22710,110,7,4,7,7,1,4,6,5,3,15,2,09-10-2022 08:09,Crack Elek FC,2000000,
Nederland,Gied Ravensbergen,Imprevisible,,,30,96,32380,12300,12,9,5,5,7,1,5,5,4,9,14,12,09-10-2022 08:12,,2250000,
