,Nacionalidad,Nombre,Especialidad,Lesiones ,Amonestaciones,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Límite,Máxima oferta,Ofrecer,Unnamed: 24,link
0,Italia,Enrico Talamo,,,2.0,25,36,11900,1490,66,5,3,8,7,1,8,9,3,6,3,5,28-08-2022 22:17,,500099,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=457805565
1,Belgium,Fréderik De Bock,,,,22,19,33140,3410,31,3,2,7,8,1,4,11,2,11,4,3,28-08-2022 22:23,ATLETICO GREEN,1143000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=458268635
2,Argentina,Santiago Barrado,,,,23,55,36920,3410,31,4,3,6,8,1,5,11,6,11,5,3,28-08-2022 22:24,Physix of Sound,1351000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=454741560
3,France,Bertrand Colnot,,,,23,73,9480,1430,25,3,3,4,8,1,5,9,5,8,3,3,28-08-2022 22:37,SH#T DON'T STOP,204000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=454485394
4,Iran,Morteza Javdanfar,,,,23,61,36020,3430,45,6,3,7,8,1,11,11,6,2,2,3,28-08-2022 22:57,Västansjö Södra,2150000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=454647245
5,Canada,Samuel Redding,Cabeceador,,,26,10,6800,2050,21,4,4,6,7,1,3,10,3,5,4,5,28-08-2022 23:21,,225000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=468379590
6,Canada,Jayme Berry,Cabeceador,,1.0,22,100,3770,390,21,3,2,7,8,1,5,9,4,5,1,4,28-08-2022 23:22,,175000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=468379586
7,Nederland,Joseph de Witte,,,,26,53,5120,890,22,4,3,4,7,2,5,10,2,5,2,6,28-08-2022 23:26,Leojac FC,102000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=467426063
8,Portugal,Ilídio Figueiredo,,,1.0,26,64,29840,2510,4,6,3,7,7,2,6,10,3,11,4,6,28-08-2022 23:29,,950000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=452693315
9,Belgium,Drazic Spitaels,Técnico,,,24,23,11620,2070,7,2,5,6,8,1,3,10,5,7,5,6,28-08-2022 23:48,,995000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=452957937
10,Suomi,Sami Multisilta,,,,22,32,12010,2490,55,1,5,6,8,1,2,11,3,3,7,3,29-08-2022 00:17,Matatolas F.C,521000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=461779602
11,România,Ovidiu Pereanu,Potente,,1.0,25,105,58000,3750,27,3,4,5,7,1,11,11,3,10,2,4,29-08-2022 00:17,,4900000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=449551663
12,Polska,Stanisław Piechnik,Potente,,,23,9,39700,3130,43,4,7,6,8,1,10,10,10,4,6,2,29-08-2022 00:18,,4750000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=458122195
13,Polska,Łukasz Kudas,Cabeceador,,,22,9,7740,1590,81,3,6,7,6,1,4,10,5,7,3,4,29-08-2022 00:18,Seu de Tendenza,467160,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=458417198
14,Polska,Rudolf Pawłow,Imprevisible,,,25,80,28970,1810,55,5,5,5,7,1,11,8,9,6,3,1,29-08-2022 00:19,,2900000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=448751988
15,USA,Clemente Ayala,Técnico,,,24,53,12870,1410,21,3,1,6,7,1,7,9,6,8,2,9,29-08-2022 00:50,Rabbalshede Dopplers,462000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=460215134
16,Barbados,RJ Ledeatt,,,,28,90,3350,370,21,5,2,6,7,1,5,8,6,4,4,3,29-08-2022 00:57,C.E. Europa,1000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=468228773
17,Jamaica,Xavier Symmes,,,,22,61,34650,1730,19,4,2,6,8,1,9,9,10,8,3,3,29-08-2022 01:06,Spopolandia Fc,3500000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=457033698
18,Italia,Fulvio Gerlin,,,,24,77,2640,950,17,3,4,3,7,1,6,9,2,4,2,4,29-08-2022 01:11,,150000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=468257678
19,Türkiye,Erman Nazım,Potente,,,24,95,4150,930,42,4,4,6,7,1,5,9,4,5,4,8,29-08-2022 01:20,nakanda,21000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=455676379
20,Česká republika,Radislav Vít,,,2.0,27,2,2800,850,122,2,5,7,7,1,3,8,3,5,4,1,29-08-2022 01:30,,70000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=451120450
21,România,Daniel Oprişiu,,,,28,104,1380,690,84,5,6,3,6,1,6,8,2,4,2,7,29-08-2022 01:32,,0,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=458045071
22,Slovensko,Viktor Pažucha,Cabeceador,,2.0,23,58,42200,1790,6,4,5,7,8,1,10,8,8,9,3,6,29-08-2022 01:36,,3450000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=455459532
23,Guatemala,Iván Ameth,,,,22,54,700,450,61,2,5,3,7,1,2,8,3,1,4,2,29-08-2022 01:44,,0,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=461042282
24,Suomi,Joska Raunela,Rápido,,,23,94,37450,1970,43,4,4,8,8,1,10,10,9,7,3,1,29-08-2022 01:47,,4100000,,https://www88.hattrick.org/Club/Players/Player.aspx?playerId=454329626
