Nacionalidad,Nombre,Especialidad,Lesiones ,Amonestaciones,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Límite,Máxima oferta,Ofrecer,
România,Nicuşor Neagu,,,1,26,68,8900,1450,106,3,4,7,8,1,2,10,5,6,3,3,27-08-2022 07:54,canary islands,225000,
Hellas,Sotiris Tsioumplekos,,,,25,9,4750,850,12,4,3,7,7,1,7,9,3,4,2,4,27-08-2022 07:54,,125000,
España,Serafín Montoro,Técnico,,,25,89,1260,410,13,3,3,5,7,1,3,8,2,5,3,4,27-08-2022 07:58,,5000,
Nederland,Yonah Strating,,,,25,84,8150,1370,38,5,5,6,8,1,6,10,3,3,2,5,27-08-2022 08:03,,250000,
Nederland,Zacharias Danhof,,,,23,8,7400,810,69,3,1,5,7,1,6,8,3,9,2,3,27-08-2022 08:17,JZ4ever,249000,
Polska,Bronisław Sidor,Técnico,,,23,93,2780,530,55,2,4,5,7,1,5,8,6,6,2,5,27-08-2022 08:33,FC Sofisgate,87500,
France,Pape Ntab,,,,22,90,6600,1890,54,2,5,3,6,1,4,10,3,7,5,2,27-08-2022 09:01,,250000,
Portugal,Eduardo Lourenço Fernandes,Rápido,,,26,79,5600,590,22,4,3,5,7,2,5,10,3,5,3,6,27-08-2022 09:04,Urokråkæne,140760,
Kazakhstan,Alexander Pushkanov,Técnico,,,23,95,2020,410,89,2,3,6,5,1,3,8,4,6,4,1,27-08-2022 09:04,,21061,
Slovenija,Matjaž Pevec,,,1,26,58,2180,550,12,2,3,7,6,1,3,8,6,5,2,1,27-08-2022 09:16,,1,
España,José Espada,Cabeceador,,,28,20,1970,850,154,2,3,6,7,1,4,9,3,4,3,4,27-08-2022 09:30,,1000,
Magyarország,Tamás Kasztel,Rápido,,,26,49,10540,3890,54,4,4,4,8,1,5,11,5,5,4,6,27-08-2022 09:32,,350000,
España,Ricardo Olarte,Rápido,,,23,110,6650,3250,22,2,5,3,6,1,2,11,3,3,4,1,27-08-2022 09:35,,303000,
España,Joel Liñán,,,1,25,85,5070,730,108,5,6,5,6,1,3,8,7,4,7,2,27-08-2022 09:36,Solingen 97,250000,
España,Raúl Oviedo,,,,25,54,3990,690,38,5,2,6,7,1,6,8,4,6,3,2,27-08-2022 09:38,,20000,
España,Salvador Vera,,,,25,100,2080,410,21,4,2,6,8,1,4,8,3,5,4,9,27-08-2022 09:50,deportivo intención,1000,
Uruguay,Darwin Castro,,,,26,79,12370,1790,37,6,2,6,7,1,6,11,2,5,4,4,27-08-2022 09:55,,150000,
England,Patrick Barlex,,,,24,27,4550,1910,98,2,5,2,7,2,4,10,4,5,5,2,27-08-2022 09:55,,75000,
France,Ambroise Champion,,,,23,103,2190,930,0,2,5,4,8,1,3,9,5,3,3,3,27-08-2022 09:58,,40000,
Argentina,Daniel Sebastián Alaniz,Potente,,,22,39,5920,730,21,3,3,7,8,1,5,9,6,5,2,4,27-08-2022 10:02,özdemir fc,150000,
Magyarország,János Füzesi,,,,24,72,1950,1310,5,2,6,1,7,1,3,10,4,3,2,1,27-08-2022 10:04,,170000,
USA,Erik Spain,,,1,25,64,6580,1490,3,4,2,5,6,1,3,10,3,5,4,4,27-08-2022 10:05,,221000,
Hellas,Efstratios Mpitoulas,,,1,25,110,5870,650,22,4,3,6,7,1,4,10,3,4,4,5,27-08-2022 10:09,,230000,
Sverige,Martin Cedersjö,,,,26,7,3360,1190,19,3,4,5,7,1,4,9,2,5,3,5,27-08-2022 10:15,,39000,
Deutschland,Sepp Tannert,,,,26,48,6620,1030,13,4,1,8,7,2,5,10,2,5,3,6,27-08-2022 10:16,Club Atlético Ataque y Corrupción,49000,
