Nacionalidad,Nombre,Especialidad,Lesiones ,Amonestaciones,Edad,Días,TSI,Salario,Semanas en el club,Experiencia,Liderazgo,Forma,Resistencia,Portería,Defensa,Jugadas,Lateral,Pases,Anotación,Balón parado,Límite,Máxima oferta,Ofrecer,
France,Bastien Basque,,,1,24,41,33820,4270,23,4,2,6,8,1,5,11,4,11,4,3,29-08-2022 03:26,SC Zinedane T&T,763980,
Schweiz,Danilo Gisonni,,,,22,5,2650,550,22,3,3,5,7,1,4,8,6,5,3,4,29-08-2022 03:27,,50000,
Latvija,Gotfrīds Zeltacis,Imprevisible,,,24,8,5910,1530,33,1,5,5,8,1,4,10,6,5,3,5,29-08-2022 03:28,,200000,
Deutschland,Yannick Schritter,Potente,,,22,99,3150,950,4,3,2,4,7,1,5,9,2,5,1,1,29-08-2022 03:31,,90500,
Sverige,Matti Öhrkvist,Imprevisible,,,28,110,20540,4650,163,7,5,5,6,1,5,11,3,6,8,3,29-08-2022 03:32,,750000,
România,Radu Radomir,,,,22,61,8830,3670,42,1,6,3,8,1,3,11,4,5,3,2,29-08-2022 03:32,,400000,
España,Uziel Corvelle,,,,24,93,18090,1730,86,4,5,7,8,1,6,11,7,5,5,3,29-08-2022 03:32,Slagveld United,510000,
Italia,Isaia Musmeci,,,,25,27,31610,1510,83,4,2,7,8,1,9,8,9,8,6,4,29-08-2022 03:33,KV Bitcoin,2000000,
Al Iraq,Muhammad Hameed,,,,26,4,24990,2890,114,4,6,7,7,1,6,11,6,6,8,7,29-08-2022 03:34,Huinala,620000,
Slovensko,Matej Chňapek,,,,25,30,8250,1030,110,4,3,7,6,1,9,8,6,3,3,1,29-08-2022 03:42,,300000,
France,Alpha Yaya Tavares,Potente,,,23,88,4140,830,104,2,2,5,6,1,2,10,5,4,2,5,29-08-2022 03:44,Kukonje,250000,
Ireland,Archie Barry,Potente,,,22,49,1730,530,12,3,1,4,9,1,5,8,5,4,1,5,29-08-2022 03:44,,30000,
Ukraina,Nestor Vokalchuk,Estoico,,1,25,43,16600,3690,133,4,1,7,7,1,6,11,5,5,5,6,29-08-2022 03:45,Dynamo Uhniv,531000,
Schweiz,Thibaut Dame,,,,25,91,6030,610,124,2,7,5,7,1,4,9,3,6,7,3,29-08-2022 03:47,Erhvervsjuristerne,11000,
Italia,Carmelo Antonietti,,,,22,79,26800,1830,39,4,3,7,7,1,4,11,6,9,5,3,29-08-2022 03:47,,1599000,
Italia,Francesco Bastianoni,Imprevisible,,,22,108,18670,870,11,3,6,7,9,1,5,9,9,8,3,4,29-08-2022 03:53,,2500000,
Polska,Piotr Skrobek,,,1,22,76,6820,770,22,4,5,7,6,1,5,10,4,5,2,5,29-08-2022 03:56,joekids,10000,
Polska,Alfred Horba,,,,27,42,3400,750,22,4,4,5,7,2,5,9,2,6,2,6,29-08-2022 04:00,,37500,
Lietuva,Pragiedrulis Atkocevičius,,,,27,7,5430,1010,34,5,4,7,7,1,7,9,3,4,4,7,29-08-2022 04:05,,300000,
Sverige,Robert Danielsson,,,,24,28,42680,3730,28,3,2,6,7,1,9,11,2,10,5,4,29-08-2022 04:07,,2000000,
Polska,Jerzy Żelewski,,,,28,6,5210,1770,1,4,6,4,6,1,4,10,6,5,4,2,29-08-2022 04:09,,150000,
Hrvatska,Vanja Sajn,,,,25,24,4410,1090,1,3,5,3,7,1,5,9,7,6,2,3,29-08-2022 04:10,,125000,
Deutschland,Alexander Setkin,Técnico,,,24,89,30560,2090,97,2,5,6,7,1,8,9,7,10,5,7,29-08-2022 04:11,,1300000,
Suomi,Antro Multala,,,,22,98,2940,470,81,3,3,7,7,1,4,8,6,5,2,3,29-08-2022 04:21,,9000,
Hrvatska,Božo Mržljaković,,,,25,42,2750,570,23,4,6,6,8,1,6,8,2,5,1,6,29-08-2022 04:26,,100000,
